sample_ID	iguana_ID	timepoint	sex	treatment	diet	lps	mass	blank
BG1								Y
BG10								Y
BG11								Y
BG12								Y
BG13								Y
BG14								Y
BG15								Y
BG16								Y
BG17								Y
BG18								Y
BG19								Y
BG2								Y
BG20								Y
BG21								Y
BG22								Y
BG23								Y
BG24								Y
BG25								Y
BG26								Y
BG3								Y
BG4								Y
BG5								Y
BG6								Y
BG7								Y
BG8								Y
BG9								Y
GI103	23	pre_biopsy	M	G-C	g	c	86	N
GI104	6	pre_biopsy	M	W-C	w	c	61	N
GI105	30	72hr_post_LPS1	M	W-C	w	c	38	N
GI106	13	72hr_post_LPS1	M	G-C	g	c	46	N
GI107	25	baseline	M	G-C	g	c	48	N
GI108	30	baseline	M	W-C	w	c	32	N
GI109	8	pre_LPS1	M	G-L	g	l	61	N
GI11	19	24hr_post_LPS2	M	W-C	w	c	45	N
GI110	35	pre_LPS1	M	W-L	w	l	49	N
GI113	21	pre_biopsy	M	W-L	w	l	104	N
GI114	27	pre_biopsy	M	W-C	w	c	75	N
GI115	17	pre_biopsy	M	W-L	w	l	70	N
GI116	29	72hr_post_LPS1	M	G-L	g	l	58	N
GI117	22	24hr_post_LPS1	M	G-L	g	l	42	N
GI118	13	baseline	M	G-C	g	c	47	N
GI119	21	baseline	M	W-L	w	l	91	N
GI120	9	pre_LPS1	M	W-C	w	c	58	N
GI121	18	pre_LPS1	M	G-C	g	c	50	N
GI123	34	24hr_post_LPS1	M	W-C	w	c	70	N
GI124	17	72hr_post_LPS1	M	W-L	w	l	56	N
GI125	4	baseline	M	G-L	g	l	67	N
GI126	30	pre_biopsy	M	W-C	w	c	60	N
GI127	16	72hr_post_LPS1	M	W-C	w	c	62	N
GI128	1	pre_LPS1	M	G-C	g	c	69	N
GI129	3	baseline	M	G-C	g	c	44	N
GI130	2	pre_LPS1	M	W-L	w	l	61	N
GI132	33	24hr_post_LPS1	M	W-C	w	c	43	N
GI135	9	pre_biopsy	M	W-C	w	c	69	N
GI136	28	24hr_post_LPS1	M	G-L	g	l	80	N
GI137	16	24hr_post_LPS1	M	W-C	w	c	61	N
GI138	1	72hr_post_LPS1	M	G-C	g	c	77	N
GI139	7	72hr_post_LPS1	M	G-C	g	c	83	N
GI140	24	baseline	M	G-L	g	l	53	N
GI141	10	baseline	M	W-L	w	l	48	N
GI142	25	pre_LPS1	M	G-C	g	c	54	N
GI143	15	pre_LPS1	M	G-C	g	c	78	N
GI144	22	pre_LPS1	M	G-L	g	l	44	N
GI145	13	pre_LPS1	M	G-C	g	c	46	N
GI146	18	baseline	M	G-C	g	c	42	N
GI147	19	baseline	M	W-C	w	c	52	N
GI148	24	72hr_post_LPS1	M	G-L	g	l	56	N
GI149	9	72hr_post_LPS1	M	W-C	w	c	58	N
GI150	27	24hr_post_LPS1	M	W-C	w	c	66	N
GI151	6	24hr_post_LPS1	M	W-C	w	c	56	N
GI152	2	pre_biopsy	M	W-L	w	l	79	N
GI153	31	pre_biopsy	M	G-L	g	l	55	N
GI155	26	pre_LPS1	M	W-L	w	l	56	N
GI156	21	pre_LPS1	M	W-L	w	l	91	N
