iguanaID,spot,tx,diet,lps,sex,tailbreak,tailBreakDate,0317mass,0317svl,0324glu,0324mass,0423glu,0423mass,0428glu,0428mass,0430glu,0430mass,0504mass,0511mass,0518mass,0525glu,0525svl,0525mass,0528glu,0528mass,0530glu,0530mass,0603mass,0610mass,0617mass,0624glu,0624mass,0625svl,0628glu,0628mass,0702mass,0709mass,0324bka,0423bka,0428bka,0430bka,0504bka,0511bka,0525bka,0528bka,0530bka,0603bka,0610bka,0624bka,0628bka,0324agg,0423agg,0428agg,0430agg,0504agg,0511agg,0525agg,0528agg,0530agg,0603agg,0610agg,0624agg,0628agg,0324lys,0423lys,0428lys,0430lys,0504lys,0511lys,0525lys,0528lys,0530lys,0603lys,0610lys,0624lys,0628lys,0324drom,0423drom,0428drom,0430drom,0504drom,0511drom,0525drom,0528drom,0530drom,0603drom,0610drom,0624drom,0628drom,0324oxy,0423oxy,0428oxy,0430oxy,0504oxy,0511oxy,0525oxy,0528oxy,0530oxy,0603oxy,0610oxy,0624oxy,0628oxy,0324totri,0423totri,0428totri,0430totri,0504totri,0511totri,0525totri,0528totri,0530totri,0603totri,0610totri,0624totri,0628totri,0324trtri,0423trtri,0428trtri,0430trtri,0504trtri,0511trtri,0525trtri,0528trtri,0530trtri,0603trtri,0610trtri,0624trtri,0628trtri,0324gly,0423gly,0428gly,0430gly,0504gly,0511gly,0525gly,0528gly,0530gly,0603gly,0610gly,0624gly,0628gly,0324dromstd,0423dromstd,0428dromstd,0430dromstd,0504dromstd,0511dromstd,0525dromstd,0528dromstd,0530dromstd,0603dromstd,0610dromstd,0624dromstd,0628dromstd,0324oxystd,0423oxystd,0428oxystd,0430oxystd,0504oxystd,0511oxystd,0525oxystd,0528oxystd,0530oxystd,0603oxystd,0610oxystd,0624oxystd,0628oxystd,0324oi,0423oi,0428oi,0430oi,0504oi,0511oi,0525oi,0528oi,0530oi,0603oi,0610oi,0624oi,0628oi
1,R1-L1,G-C,g,c,m,0,,58,11.9,180,57,333,69,234,79,291,77,74,81,85,292,125,93,255,91,35,89,100,100,112,193,122,137,229,115,128,133,91.56592634,67.56352765,77.70083102,69.54196698,0,0,78.36662053,80.14461599,78.71581451,10.01110582,0,7.362347924,13.01310044,2,2,0,0.666666667,0.666666667,3,1.666666667,1,2.333333333,2,2.666666667,,,2.666666667,3,0,0.666666667,0,2,1,1.333333333,1.333333333,2.666666667,0,,,0.49725204,0.49498799,0.804893515,1.101550489,1.831145631,1.355381062,0.557327175,0.689973653,2.693946305,0.600475248,1.595793612,,2.313199017,347.9192547,340.3180543,332.566168,363.8665132,352.9375951,341.6625917,355.1485149,348.4158416,344.9210526,348.3362522,326.4181092,,343.0267062,1.419491525,6.201271186,5.443037975,5.974106042,4.752235469,7.779693487,5.400383142,5.163043478,6.513863216,6.605733278,6.755555556,,6.239175258,1.329412706,5.876140182,4.694683401,5.215858341,2.653698708,4.333333333,3.701867816,4.492552686,4.343391714,5.530139721,3.591724245,,2.730844794,0.189975748,0.149555376,0.816167897,0.834064969,2.740234375,4.346693387,2.116232465,0.742793792,2.751862015,1.243489583,4.039347007,,4.692341744,1.019987628,-0.194245348,0.388373066,0.140901732,1.233770563,0.74533272,-0.649760878,0.17568773,3.562748809,-0.699401962,0.962290879,-1.829545994,2.051684338,-1.126373886,0.507475006,-2.370650494,1.537563913,0.542279862,-0.886479907,0.615878159,0.45578191,-0.064946408,0.809278497,-0.076118429,,0.045789075,2.146361514,-0.701720355,2.75902356,-1.396662181,0.691490701,1.631812627,-1.265639037,-0.28009418,3.627695217,-1.508680459,1.038409308,,2.005895264
2,R1-L2,W-L,w,l,m,0,,62,12.8,225,59,353,61,351,57,312,63,63,67,63,279,121,67,324,66,272,67,72,74,76,282,79,132,281,82,85,91,81.75428732,60.93672147,87.07294552,0,68.94042747,76.74510579,77.85248171,78.50302912,82.0451843,83.9758845,56.84594637,86.9058071,85.20274485,2,2,1,0,1,5.666666667,3.666666667,4,3.666666667,2,2.333333333,3,3.666666667,4.333333333,3.333333333,1.666666667,0.666666667,1,1.333333333,1,3.333333333,4,1,1.333333333,1.333333333,2.666666667,0.348420547,0.400294636,0.314927142,0.444456026,0.919487379,0.518700539,0.629752117,0.635247904,0.892215988,0.696950495,1.248235872,0.873434889,2.083695332,345.8074534,344.1347053,335.3049482,364.2577675,361.217656,370.7579462,346.7326733,351.7821782,351.6315789,336.4273205,329.587217,332.7563249,340,1.25,1.25,0.433730454,2.127003699,0.95752608,1.906130268,2.653256705,1.977424749,2.822550832,3.749480681,4.284848485,4.303030303,2.944329897,1.151784285,1.124579933,0.382527147,1.906291624,0.925386909,1.211925287,2.007183908,1.687925844,2.427023985,3.4499002,2.222653521,3.757084077,2.783497053,0.212206952,0.246564268,0.221531286,0.333625988,0.14453125,1.02004008,0.887775551,0.44345898,0.529204234,0.340711806,2.685223943,0.640435329,0.196989819,0.109801497,-0.496985228,-1.014767511,-1.654616513,-0.902406031,-0.667810395,-0.512459501,-0.022644993,0.003999689,-0.540761101,0.426077027,0.147634457,1.714447539,-1.40240833,1.306463117,-1.997492546,1.567535475,1.178847524,3.023322302,-0.054972483,0.877485372,0.775405054,-0.237398088,0.183095681,-1.707232162,-0.231310029,1.512209827,-1.803448345,0.982725035,-3.222151987,-2.081253556,-3.691132697,-0.457487017,-0.900130365,-0.771405365,-0.303363013,0.242981345,1.854866619,1.945757568
3,R1-L1,G-C,g,c,m,0,,42,11.1,311,44,379,53,330,55,270,54,55,58,58,332,127,64,379,61,382,62,64,68,77,274,84,132,308,89,90,96,90.46949677,65.52067763,91.04339797,61.12531969,0,0,55.90270912,0,69.83749505,0,0,93.85425812,89.76918278,0,0,0,0,,0,3,1,0.666666667,1,6.333333333,0,0.666666667,0,0,0,0.333333333,,0,1,1,0,0.666666667,0,0.333333333,0.666666667,0.009463274,0.588963971,0.528704564,1.006488599,1.183937864,1.592658968,0.927039261,0.403468263,1.121689291,1.846336634,0.707498771,0.403695332,0.378928747,347.9192547,333.0028064,337.6524741,364.6490219,325.5098935,357.8728606,350.0990099,344.6287129,348.9473684,350.7180385,328.229028,329.1344874,354.1246291,,4.762711864,3.691362621,5.974106042,4.728017884,6.16091954,3.522988506,3.118729097,3.66728281,6.179891982,4.949494949,4.21010101,3.888659794,,3.741798688,3.003455084,5.617017942,1.432273179,3.019755747,1.572557471,1.985026145,2.351410283,3.06746507,2.451284838,3.740780995,3.450687623,,1.129749394,0.860862806,0.272168569,4.388671875,4.062124248,2.631262525,1.541019956,1.754214034,4.034288194,3.237756383,0.542067811,0.524568393,-1.963107959,0.106201048,-0.402562691,-0.118855983,-0.282751752,1.146092185,0.051129962,-0.862642408,0.457251715,1.349253296,-0.408174928,-0.915707393,-0.790566818,-1.126373886,-1.023918872,-1.677642876,1.597507036,-1.566350521,1.291838467,0.213367774,-0.018634484,0.43926447,1.018613814,0.07200392,-2.215129679,1.061819122,-0.836734074,1.13011992,1.275080185,-1.71636302,1.283598769,-0.145746281,-0.162237812,-0.844007924,0.017987245,0.330639483,-0.480178848,1.299422287,-1.85238594
4,R1-L1,G-L,g,l,m,0,,67,12.7,194,67,443,69,233,59,266,61,63,66,62,340,123,65,289,63,289,66,66,70,72,335,79,132,319,80,82,83,88.58588698,57.24962631,95.61403509,47.36107882,15.9163256,0,51.19636148,81.51260504,85.45382481,77.66143106,63.82674917,73.08415904,83.18153462,3,2,1,2.333333333,7.666666667,4,5.333333333,4,1,1,2.333333333,2.666666667,2.666666667,2.333333333,2.666666667,1,2,2.333333333,1,3,2.666666667,0.666666667,1,1.333333333,1,1.666666667,0.852554969,0.616224179,0.79843715,1.292508143,2.066019417,1.872012317,1.001533487,0.494409581,1.450087481,1.056237624,1.073218673,1.12770516,2.495646192,349.5031056,333.0028064,339.2174914,361.9102417,332.7549467,339.1687042,360.6188119,316.0148515,335.9736842,322.1366025,332.3035952,342.0178042,354.6290801,0.463983051,5.470338983,1.349590469,,5.38561848,6.040229885,3.595785441,2.984949833,2.129390018,5.492314084,6.804040404,7.670707071,6.053608247,0.654504721,5.264442311,1.034057256,,2.697714042,3.011494253,1.425287356,2.77254001,2.044735176,4.120159681,4.855601273,5.453769117,5.480550098,0,0.050525465,0.518849592,,3.509765625,3.915831663,2.931863727,0.261640798,0.143081145,1.705729167,2.398493093,2.714524906,0.571049137,3.192859723,0.193353438,0.369883659,0.66269574,1.784121403,1.617916556,0.192354236,-0.533060089,1.105898607,0.050039347,0.1560596,0.723221961,2.319775463,-0.919348052,-1.023918872,-1.464409763,1.387706106,-1.009353816,-1.22160581,1.051931076,-3.603113908,-1.185415024,-1.493409989,0.405279205,-0.408476417,1.108002305,4.112207775,1.21727231,1.834293422,-0.725010366,2.793475219,2.839522366,-0.859576841,3.070053819,2.29131363,1.543449337,-0.249219605,1.131698378,1.211773158
5,R1-L2,W-L,w,l,m,0,,37,11,344,39,352,40,306,38,263,41,40,51,40,320,109,43,303,41,320,41,43,44,46,493,51,114,192,50,51,55,86.61793646,60.5879422,100,71.82050686,48.52205548,0,78.72256278,80.3791284,69.83749505,0,78.74028241,82.46582215,90.54273238,3,2,1.333333333,2,3.333333333,2.333333333,2.666666667,2,4,,2.333333333,5.333333333,1,4.333333333,2.666666667,1.666666667,2.333333333,1.666666667,0.666666667,1.333333333,1.333333333,2.333333333,,1.666666667,0.666666667,0.666666667,0.310567451,0.418228983,0.548073659,1.213289902,1.15001165,1.215359507,1.316064665,0.610299401,1.347919155,1.428831683,0.629896806,0.747125307,0.591095823,344.2236025,332.0486436,345.8688147,364.2577675,336.8949772,344.1564792,301.7079208,358.5148515,335.0789474,130.4028021,326.8708389,345.0445104,332.9376855,1.773305085,1.425847458,0.681310499,2.667488697,5.301788376,6.411877395,4.022988506,1.287625418,3.95194085,,3.61010101,2.909090909,3.397938144,1.804288686,1.266602656,0.736849528,2.40578234,4.63971319,3.073994253,3.447916667,1.100855649,1.910388971,,2.529306731,1.537535906,3.162278978,0.012126112,0.276879547,0.05635445,0.355575066,0.728515625,4.314629259,0.669338677,0.350332594,2.745981968,,1.398074508,1.82712432,0.272244356,-0.12169093,-0.43964813,-0.347094469,0.446230977,-0.362246873,0.508838035,0.788634502,-0.113061382,0.904097351,0.662721294,-0.527899636,-0.138290504,-0.478804741,-1.609434163,-1.2236659,-0.558169032,1.567535475,-0.691069985,-0.551354003,-3.644023418,1.720892295,-1.297461885,,-0.039087842,0.015964646,-0.877874604,1.487743233,0.78401777,0.211074563,-1.121304498,0.328823112,1.060192039,4.432657921,-1.833953677,2.201559237,,-0.488811794,-0.154255151,0.399069863
6,R1-L2,W-C,w,c,m,0,,58,12.4,276,56,391,53,252,56,244,55,53,39,55,347,115,57,373,55,319,56,55,56,60,329,61,125,264,60,62,63,92.88726455,71.69905331,79.68605725,68.84445478,69.84993179,82.75657504,80.0276844,90.3459058,73.00832342,87.81532604,0,90.86918349,91.06674984,0.666666667,2,0,,0,0,0,1,0,0,0,0,0,0.666666667,1.666666667,0.666666667,,0,0.333333333,0.333333333,1.666666667,0.333333333,0.333333333,0.333333333,0,0.333333333,0.308846855,0.435445957,0.425276873,0.55619544,0.899479612,0.470417244,0.535453892,0.407492216,0.449486576,0.998019802,0.317012285,0.427636364,0.450751843,356.3664596,331.4125351,343.9125432,364.6490219,335.3424658,349.9755501,347.1534653,322.3267327,347.1578947,348.3362522,351.770972,350.5934718,325.3709199,1.175847458,0.713983051,0.716679077,1.588573777,0.946348733,1.917624521,1.402298851,1.135033445,2.120147874,2.324470295,1.37979798,2.206060606,2.243298969,1.188990238,0.863338134,0.761881258,1.360181775,0.989990061,1.826149425,1.253951149,1.062430677,1.00337624,2.233932136,1.308904588,1.681934632,2.063654224,0.076798707,0,0.068013991,0.379719052,0.041015625,0.178356713,0.30260521,0.201773836,1.581732654,0.132378472,0.154876517,0.722059439,0.270030987,-0.132213313,-0.384604515,-0.698753609,-1.349287268,-0.94928777,-0.749360286,-0.691227695,-0.84805912,-0.870472417,-0.045692207,-1.010619469,-0.861512465,-0.685028683,-0.022236108,-1.356830585,-0.824710423,1.597507036,-0.810426422,0.230606439,-0.021429951,-2.812419917,0.215170746,0.809278497,1.997594457,0.794106596,-1.570622364,-0.109977205,0.97222607,0.125956815,-2.946794304,-0.138861348,-0.979966725,-0.669797744,1.964360798,-1.085643163,-0.854970704,-3.008213927,-1.655619062,0.88559368
7,R1-L1,G-C,g,c,m,0,,75,12.7,239,78,311,75,534,74,224,83,75,76,75,321,132,75,364,77,333,74,76,79,79,342,85,137,278,85,84,85,88.24852404,71.89835575,76.08494922,69.68146943,46.20281946,87.5815701,82.7170259,78.26851671,87.35632184,83.15088053,9.439949231,93.65358084,6.899563319,1.333333333,3,0,0,1,1,3.333333333,2,2,1,1,0.333333333,,2,3.333333333,1,0.333333333,0.666666667,1.333333333,2.333333333,2.333333333,2.666666667,2,1,0.666666667,,0.363905905,0.548791033,0.602892508,1.496807818,0.797700971,0.721490377,0.664220359,1.089954491,0.55895264,0.510653465,0.459832924,0.498633907,1.639547912,355.310559,339.6819457,342.7387802,363.4752589,353.4550989,350.391198,312.2277228,334.529703,344.4736842,348.9316988,326.4181092,349.0801187,,1.908898305,2.014830508,2.069992554,3.982737361,3.964232489,4.760536398,2.634099617,6.017976589,2.768946396,4.530535937,5.56969697,4.351515152,6.696907216,1.554648744,2.069131061,1.963051756,3.507404215,2.820176061,4.168103448,2.341235632,5.340675012,2.63206021,4.224351297,5.050073752,4.123515255,2.418860511,0.4890865,0,0.178779635,0.568481124,1.478515625,0.629258517,0.396793587,0.689578714,0.17248138,0.308159722,0.537881959,0.209292591,5.745905268,0.204502944,-0.022234053,-0.190107059,1.220946971,-1.187773134,-0.325300852,-0.447115477,1.625266602,-0.654256786,-0.847102074,-0.79027506,-0.700796474,1.061809416,-0.16025333,0.374310321,-0.984635258,1.507592352,0.582065341,0.286460756,-2.805460116,-1.283744869,-0.120969838,0.861612326,-0.076118429,0.581886065,,0.364756274,-0.396544374,0.794528199,-0.286645381,-1.769838474,-0.611761608,2.358344639,2.909011471,-0.533286948,-1.7087144,-0.714156631,-1.282682538,
8,R1-L3,G-L,g,l,m,0,,61,13.1,145,56,404,61,365,60,217,60,64,63,65,342,128,65,303,63,284,62,67,68,72,340,78,133,374,79,77,76,92.66235592,69.60637768,88.18097876,0,57.79899955,73.30433063,0,82.17705687,67.7764566,84.07107726,0,79.12956227,88.59638178,4,2.666666667,1,0,2.333333333,3,0.666666667,4,3.666666667,1,2.666666667,1,1,4,3.333333333,1.333333333,0,0,1,0,4,2.333333333,1,3,0.333333333,1.666666667,0.320891023,0.434728583,0.417771987,1.470123779,0.862073786,0.918072363,2.371180838,0.527405988,1.326025943,0.505663366,1.821995086,0.503587224,0.298850123,356.8944099,340.3180543,345.4775604,361.127733,351.3850837,345.403423,351.3613861,347.1534653,348.0526316,345.9544658,340.9054594,354.1246291,334.9554896,1.277542373,2.639830508,0.636634401,1.685162351,3.772354694,2.239463602,8.421455939,1.747491639,3.887245841,5.448691317,6.307070707,7.61010101,5.886597938,1.405024804,2.247959674,0.710054999,1.618349918,3.208149936,0.992816092,4.087284483,1.519172873,2.000773722,5.112974052,3.031985094,5.164195326,5.351277014,0,0.485044462,0.034978624,0.147058824,0.693359375,1.761523046,5.529058116,0.374722838,2.534300274,0.299479167,4.213059858,3.026370866,0.528995131,-0.058556632,-0.386897999,-0.720245716,1.148032524,-1.036936237,0.006723705,2.788897107,-0.413477124,0.860854225,-0.855307636,1.311275666,-0.68958373,-0.908235774,0.046772503,0.507475006,-0.61147731,1.327762983,0.422923425,-0.383791051,0.31399537,0.297643112,0.327217608,0.59994318,1.108860363,1.289287837,-0.693141869,-0.105329135,-0.894373005,-0.108768406,-0.179730459,-1.459859662,0.390514757,2.474901737,-0.711120236,0.533636617,-1.455250816,0.202415303,-1.978871568,-0.215093905
9,R1-L2,W-C,w,c,m,0,,50,11.4,303,50,196,58,211,59,259,58,58,59,56,298,121,60,444,60,417,60,60,66,70,319,69,120,261,71,77,77,90.58195108,71.10114599,,67.58893281,61.30059118,68.59798299,78.8412102,73.73461012,84.34403488,68.74504204,0,85.35055813,88.22208359,,2,,0,0,2,0.666666667,0.333333333,1,1.333333333,,3.333333333,0.666666667,,2.666666667,,0.666666667,0.666666667,0.666666667,0.666666667,0.333333333,3.333333333,0,,0,0,0.461119539,0.256102482,,0.993980456,0.692442718,0.642167821,0.349547305,0.360009581,0.340831373,0.505663366,0.520923833,1.058358722,2.095253071,350.5590062,342.5444341,,328.6149163,355.5251142,350.806846,350.0990099,354.7277228,354.3157895,353.6952715,344.5272969,351.0979228,349.0801187,,2.707627119,,2.638717633,2.293219076,4.396551724,1.921455939,1.962792642,2.033271719,4.752804321,2.638383838,2.543434343,2.668041237,,2.595215234,,2.312544073,1.963651853,2.14295977,1.64295977,1.052923467,1.680382641,2.623952096,1.095800016,1.391196336,1.932416503,,0.127324171,,0.447761194,0.466796875,2.977955912,0.438877756,1.312638581,0.523324187,2.7734375,2.071996651,1.5508581,1.02478973,0.799017585,-0.9579755,-1.916639712,-0.15303463,-1.434411843,-0.459275673,-1.043664709,-1.020141923,-1.08508645,-0.855307636,-0.696023694,0.566243551,1.731430687,-0.78133083,0.973551404,,-1.162841843,0.741207256,0.342315073,0.213367774,1.246475901,1.111545639,1.28028296,1.405105061,0.864846774,0.599987282,1.580348415,-1.931526904,,1.009807212,-2.1756191,-0.801590746,-1.257032482,-2.266617824,-2.19663209,-2.135590596,-2.101128755,-0.298603223,1.131443405
10,R1-L4,W-L,w,l,m,0,,46,12.2,256,48,298,45,258,46,219,47,48,49,48,255,120,50,278,48,318,46,51,51,51,312,53,119,352,52,56,58,5.088557773,57.39910314,90.72022161,72.05301093,0,0,0,77.72132109,74.75227903,79.78740282,85.77699737,86.83055312,82.95695571,,2,1.666666667,2,,,,3,4.333333333,2.333333333,3.333333333,4.333333333,4,,1.333333333,0.666666667,1.666666667,,,,2.333333333,3.666666667,0.333333333,1.333333333,2,2.666666667,0.627156985,0.528704564,0.657928339,1.164925081,1.163930097,,1.362778443,0.81874012,0.807886576,1.820554455,0.69841769,1.595793612,-0.002476658,348.9751553,340.9541628,343.9125432,327.5799087,365.3576865,348.7286064,345.049505,347.1578947,352.9736842,344.7635727,335.9254328,340,338.4866469,,1.792628444,1.152271035,4.480065762,6.067436662,,,1.551003344,2.73012939,5.722891566,5.907070707,6.66185567,5.340206186,,1.12360739,1.00514737,4.244691687,1.975720574,,,1.25376327,2.270169515,4.209181637,4.582330564,5.258546169,3.985068762,,0.973571706,0.301204819,0.199736611,5.396484375,,,0.485587583,0.625245002,1.885850694,1.605274173,1.699867198,1.719787517,1.814427547,-0.086451603,-0.03249827,0.314073543,-0.32963349,-1.543889226,0.877193303,0.64235296,-0.162566426,1.306857894,-0.422185266,1.782826229,-1.351010709,-0.988356663,0.640639691,-0.824710423,-1.242127343,1.497131356,0.063043487,-0.189142612,0.298197985,0.943475347,0.495275521,0.701523903,-0.691437126,-0.369859581,2.80278421,-0.727091294,0.792212154,1.556200886,-1.826764846,,1.066335915,0.344154975,-1.106041773,0.811582372,-1.123709169,2.474263356,-0.981151128
